,pnName,eqpName,perfId,ymdms,volTage,amPere,arPower,atvPower,ratPower,pwFactor,accruePower,voltagerS,voltagesT,voltagetR,temperature
1413,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124538,227.347,0.366,73958,3575,4294890000,10,2124850,393.179,393.777,391.724,21.888
1414,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124628,227.781,0.366,73560,3759,4294890000,10,2124850,392.457,394.528,391.495,21.696
1415,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124653,227.781,0.366,73560,3759,4294890000,10,2124850,392.457,394.528,391.495,21.696
1416,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124718,227.781,0.366,73560,3759,4294890000,10,2124850,392.457,394.528,391.495,21.696
1417,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124743,227.077,0.365,73184,3579,4294890000,10,2124850,392.413,393.309,391.324,21.888
1418,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124808,227.053,0.365,72894,3710,4294890000,10,2124850,392.891,393.267,391.586,21.888
1419,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124858,227.03,0.364,73409,3444,4294890000,10,2124850,392.628,393.227,391.527,21.696
1420,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124923,227.051,0.365,73895,3239,4294890000,10,2124850,392.528,393.264,391.222,21.888
1421,PA-A-30_판넬PC,2층203호냉난방기,300,20210307124948,226.965,0.366,74200,3272,4294890000,10,2124850,392.722,393.115,391.404,21.888
1422,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125013,227.123,0.363,73583,3729,4294890000,10,2124850,392.838,393.389,391.437,21.888
1423,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125038,227.264,0.366,73602,3306,4294890000,10,2124850,392.9,393.633,391.494,21.888
1424,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125128,227.135,0.364,74301,3385,4294890000,10,2124850,392.015,393.409,390.799,21.888
1425,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125153,226.912,0.364,74163,3327,4294890000,10,2124850,392.001,393.023,390.804,21.888
1426,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125218,227.326,0.365,74243,3515,4294890000,10,2124850,392.33,393.74,390.822,21.696
1427,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125243,227.241,0.366,73847,3228,4294890000,10,2124850,392.2,393.593,391.03,21.888
1428,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125309,226.692,0.364,73835,3510,4294890000,10,2124850,392.801,392.642,391.095,21.888
1429,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125424,227.329,0.366,73473,3284,4294890000,10,2124850,392.088,393.745,391.069,21.696
1430,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125449,227.797,0.367,73582,3556,4294890000,10,2124850,393.241,394.556,392.027,21.888
